"variable","block"
"UniRef90_I4FGC1","mG"
"UniRef90_S3JE48","mG"
"UniRef90_L7E0D5","mG"
"UniRef90_I4F7A2","mG"
"UniRef90_I4HGQ9","mG"
"UniRef90_I4F984","mG"
"UniRef90_A5TSU5","mG"
"UniRef90_L7EBF8","mG"
"UniRef90_I4II11","mG"
"UniRef90_I4HQ67","mG"
"UniRef90_I4FVR5","mG"
"UniRef90_I4IV77","mG"
"UniRef90_L7EES3","mG"
"UniRef90_I4ID66","mG"
"UniRef90_I4HSY0","mG"
"UniRef90_L7E3H0","mG"
"UniRef90_I4IFW6","mG"
"UniRef90_I4HQ65","mG"
"UniRef90_L7E4T0","mG"
"UniRef90_I4GBZ9","mG"
"UniRef90_S3JCL0","mG"
"UniRef90_I4FP05","mG"
"UniRef90_B0JJV4","mG"
"UniRef90_I4I3X0","mG"
"UniRef90_I4FGU7","mG"
"UniRef90_I4F793","mG"
"UniRef90_I4IEQ5","mG"
"UniRef90_I4HIF8","mG"
"UniRef90_B0JJX2","mG"
"UniRef90_I4I4A5","mG"
"UniRef90_L8NPB4","mG"
"UniRef90_I4FIN9","mG"
"UniRef90_I4I8K7","mG"
"UniRef90_L7E0H3","mG"
"UniRef90_L7E4C8","mG"
"UniRef90_I4G6C3","mG"
"UniRef90_I4IEV7","mG"
"UniRef90_I4FCT0","mG"
"UniRef90_I4GWE6","mG"
"UniRef90_I4G2X3","mG"
"UniRef90_I4ILZ4","mG"
"UniRef90_I4FBM7","mG"
"UniRef90_I4IPX9","mG"
"UniRef90_I4FGQ2","mG"
"UniRef90_I4G5I3","mG"
"UniRef90_I4IVE0","mG"
"UniRef90_B0JXV9","mG"
"UniRef90_I4F833","mG"
"UniRef90_B0JLE3","mG"
"UniRef90_I4HP92","mG"
"UniRef90_I4GFI6","mG"
"UniRef90_S3JF54","mG"
"UniRef90_S3JEM4","mG"
"UniRef90_I4FGH6","mG"
"UniRef90_I4FCH6","mG"
"UniRef90_I4GE77","mG"
"UniRef90_B0JQY6","mG"
