"","mT19_11.3.1","mT19_11.3.2","mT19_11.3.3","mT19_12.4.1","mT19_12.4.2","mT19_12.4.3","mT19_6.15.1","mT19_6.15.2","mT19_6.15.3","mT19_7.23.1","mT19_7.23.2","mT19_7.23.3","mT19_9.10.1","mT19_9.10.2","mT19_9.10.3","mT19_9.29.1","mT19_9.29.2","mT19_9.29.3"
"O53_2150_O53_2150",0,0,0,0,0,0,0,0,0,0,0,0,0,8.93,0,0,0,2.46
"O53_2272_O53_2272",10.52,8.49,17.63,20.28,14.86,24.28,31.88,38.84,29.09,0,14.77,8.85,2.85,3.53,7.33,0,9.42,24.44
"O53_3332_O53_3332",123.73,76.47,59.65,88.34,51.44,25.97,69.26,28.65,33.68,94.29,67.77,111.61,137.65,115.56,149.87,153.17,70.81,67.99
"O53_158_O53_158",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_1951_O53_1951",13.85,15.25,28.7,37.68,45.69,58.52,45.14,38.32,32.92,6.36,10.79,6.99,9.62,11.39,8.98,3.36,11.3,35.51
"O53_3875_O53_3875",5.87,2.51,9.83,20.46,2.32,8.34,4.6,2.86,0,0,4.69,8.27,20.47,4.7,12.02,17.08,16.87,7.29
"O53_2287_O53_2287",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_1703_O53_1703",11.16,6.47,6.65,17.44,5.28,13.58,8.21,5.11,6.18,4.78,3.55,6.44,13.86,5.02,11.6,3.97,5.93,3.92
"O53_1282_O53_1282",17.57,12.27,9.59,26.98,25.04,6.99,9.75,14.7,17.15,51.93,47.85,63.09,48.81,62.86,29.41,9.73,23.94,20.97
"O53_2269_O53_2269",1.99,3.39,0,0,9.11,0,0,0,0,6.6,0,0,0,0,0,0,0,1.8
"O53_969_O53_969",36.95,35.79,39.63,29.4,21.1,23.14,37.5,50.83,52.12,22.7,16.67,26.21,39.22,28.49,31.49,26.21,22.09,21.68
"O53_58_O53_58",17.4,13.15,15.38,26.32,16.57,16.6,23.55,21.3,7.46,9.51,9.83,10.79,14.17,11.86,14.89,7.64,6.85,6.81
"O53_3279_O53_3279",0.25,0,0.81,2.68,3.25,3.65,2.7,4.02,0,1.32,0.82,2.94,1.43,0.45,3.91,2.13,0.24,3.98
"O53_5049_coaD",480.47,441.08,507.63,635.73,552.11,484.69,725.93,760.08,778.33,404.28,355.61,379.97,287.67,329.23,326.61,264.85,297.21,486.45
"O53_2400_O53_2400",301.13,332.41,580.32,211.43,175.23,158.04,766.13,1304.91,765.45,444.82,569.51,823.25,679.94,629.26,669.06,523.34,484.04,565.68
"O53_639_ribD",32.6,33.39,45.22,65.71,53.37,68.33,43.68,67.67,46.43,54.74,74.91,76.87,76.54,60.47,69.45,47.9,50.3,57.93
"O53_1268_O53_1268",408.47,380.25,486.36,684.66,560.95,847.89,538.81,440.17,728.78,527.29,582.41,563.29,713.64,494.32,870.78,577.91,678.08,757.16
"O53_1085_O53_1085",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_1379_O53_1379",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_3692_glgX",271.88,285.27,384.09,519.18,425.77,448.35,163.42,289.3,921.61,147.63,169.72,262.89,205.55,240.95,273.98,150.28,199.1,680.21
"O53_1433_O53_1433",50.57,68.77,76.09,118.85,103.12,102.24,83.67,157.4,210.83,58.1,86.65,101.7,48.89,85.52,96.92,26.42,62.46,110.71
"O53_4274_O53_4274",28.96,21.42,29.84,67.76,38.55,65.6,48.82,48.65,53.89,7.71,19.5,28.63,24.67,18.56,33.92,22.46,26.96,53.34
"O53_785_O53_785",1.77,1.86,7.12,3.95,2.45,8.71,36.67,42.4,16.5,4.29,3.27,3.75,1.67,1.78,3.6,0.89,1.81,12.38
"O53_4336_ruvB",16.73,23.52,14.94,44.63,20.29,20.71,19.35,19.8,18.93,10.96,10.26,14.03,20.08,17.49,22.93,21.91,16.5,15.27
"O53_2564_O53_2564",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_4932_O53_4932",15.98,27.14,56.94,36.34,26.5,32.41,129.69,153.51,116.03,36.75,24.26,21.15,3.43,11.58,14.34,0.2,15.35,67.17
"O53_1814_rpsH",1122.87,1598.78,1504.02,1621.34,429.59,703.32,1238.92,1357.36,220.86,1529.82,1571.01,1684.2,2171.72,2127.31,584.07,1393.69,1552.23,1121.75
"O53_2624_gyrB",120.13,127.14,136.23,336.7,218.57,292.66,150.97,181.19,126.49,134.23,164.37,168.78,176.06,172.32,154.43,123.6,150.9,180.47
"O53_2311_O53_2311",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_2706_O53_2706",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_2519_O53_2519",18.25,10.27,15.28,6.06,2.43,1.91,6.64,6.02,2.07,1.29,1.75,3.75,10.48,5.67,10.15,12.93,3.61,3.44
"O53_1387_O53_1387",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_2018_O53_2018",15.27,10.95,19.92,25.57,19.7,30.75,15.29,18.66,13.27,4.14,4.28,7.67,6.78,7.72,5.99,4.1,2.76,7.8
"O53_1003_O53_1003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_4593_mazG",76.62,49.19,58.33,131.84,71.68,54.97,79.77,76.14,51.36,76.9,48.68,73.67,101.58,64.56,76.57,43.43,45.83,70.92
"O53_741_O53_741",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_2282_moaB",43.85,30.89,30.37,38.53,19.9,16.51,22.57,10.3,13.58,18.53,27.69,20.72,36.02,45.37,35.66,46.92,27.42,13.23
"O53_16_O53_16",124.59,102.11,100.32,36.83,45.83,61.21,70.66,65.03,67.58,24.87,28.97,23.79,27.51,28,33.2,30.83,29.92,35.67
"O53_2403_O53_2403",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_1891_hypB-2",31.81,17.91,19.78,37.91,27,30.02,6.84,18.04,32.28,9.45,13.93,32.94,11.33,5.71,17.86,16.11,11.07,8.39
"O53_536_O53_536",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_2075_O53_2075",4.05,3.19,4.37,1.14,1.11,1.63,6.73,3,1.82,1.55,0.78,3.52,7.36,2.19,2.88,4.03,1.28,1.49
"O53_3600_O53_3600",7.41,3.15,12.53,8.37,7.46,9.36,12.6,24.44,4.11,18.58,6.47,30.21,18.67,3.12,11.37,5.79,6.67,4.64
"O53_924_dxr",133.17,99.35,91.92,162.46,159.31,178.35,119.56,57.73,68.46,38.09,23.8,22.51,28.34,19.75,27.93,22.84,19.76,32.19
"O53_879_bioD",33.17,28.08,37.35,81.95,61.26,56.01,49.42,38.03,48.57,23.62,40.09,45.03,68.79,43.37,54.62,47.14,49.69,35.04
"O53_128_O53_128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_1782_O53_1782",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_3555_lexA",415.51,388.52,425.89,903.33,946.42,760.9,514.36,346.12,514,252,336.1,290.65,318.33,287.81,348.12,389.16,353.53,542.9
"O53_1508_O53_1508",74.67,62.3,109.65,243.57,240.4,413.08,260.27,194.83,135.76,80.52,60.29,57.7,71.98,52.02,64.29,42.77,41.37,67.82
"O53_3513_O53_3513",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_1395_kaiB-1",45.25,51.93,116.7,44.18,72.81,69.5,37.73,53.48,119.29,29.22,21.74,42.13,31.37,31.13,47.18,24.33,36.21,136.57
"O53_4632_O53_4632",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_4448_cynS",51.74,69.38,92.93,218.43,123.99,126.24,123.33,146.92,109.12,92.93,69.09,81.52,84.81,92.02,113.74,71.12,60.86,71.51
"O53_606_pyrC",64.12,66.4,84.62,169.65,103.89,155.89,123.83,126.87,98.02,183.78,168.94,188.04,198.76,161.03,127.32,108.01,114.93,195.21
"O53_4719_O53_4719",8.47,7.77,12.62,8.8,9.1,16.84,13.22,16.42,16.03,3.85,0.11,1.37,0.4,0.88,1.06,0,0.09,2.11
"O53_1198_O53_1198",40.45,25.95,49.76,54.39,52.92,71.1,53.97,53.97,37.63,5.45,21.18,35.8,21.07,23.04,16.5,10.11,17.41,21.39
"O53_4191_O53_4191",0,0.26,0.46,0.26,0.39,0.51,0.77,2.77,3.64,0,2.54,0,0,0,1.22,0,0,0.52
"O53_5133_O53_5133",27.92,35.01,70.81,40.76,80.5,75.92,121.61,189.56,425.18,22.06,20.58,22.01,9.59,13.1,28.68,7.86,17.13,31.77
"O53_1581_O53_1581",2.82,1.59,0,0,2.74,9.29,6.05,6.83,2.64,0,0,0.85,2.54,0,0,0,0,0.83
"O53_3290_rfbE",213.51,194.84,253.26,159.93,246.23,190.66,158.4,193.73,340.52,160.54,140.01,136.3,194.4,147.45,160.39,94.68,74.98,115.64
"O53_3246_O53_3246",0,0,0,0,0,0,0,0,85.24,0,0,0,0,0,0,0,0,28.97
"O53_478_lacA",0.57,0,1.85,0,0,0.21,2.34,1.37,0,0,0,0,0,0,0,0,0,0
"O53_212_O53_212",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_3994_rpoA",1784.46,1741.07,1888.96,1591.63,827.97,804.45,1647.63,2213.04,841.41,2212.53,2088.65,2181.94,3099.44,3207.28,1322.66,2368.68,2533.58,1705.13
"O53_867_spoIIAA",153.79,119.89,153.82,254.04,187.85,326.22,317.63,410.18,382.08,121.77,154.34,203.26,210.92,212.92,239.92,111.46,119.39,324.11
"O53_4944_O53_4944",47,104.63,117.74,64.28,84.5,66.83,170.1,144.56,369.75,109.43,84.46,78.44,29.77,49.49,54.68,10.07,48.96,115.97
"O53_4301_O53_4301",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_5194_dnaN",110.7,114.76,132.93,148.94,131.86,174.39,220.44,266.34,214.18,159.03,210.46,174.52,139.02,154.72,145.52,91.73,110.47,215.4
"O53_2159_coaBC",24.55,26.07,26.63,35.57,33.3,30.79,32.93,47.54,41.29,39.79,38.55,51.81,50.79,35.46,41.85,25.94,42.33,47.7
"O53_4208_O53_4208",5.26,1.68,2.68,9.72,3.08,6.84,3.73,3.49,1.43,3.75,1.64,2.96,7.17,4.54,4.92,1.46,1.76,1.63
"O53_3261_O53_3261",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_2842_O53_2842",0,0,0,0.4,0,9.01,0,0,19.95,0,0.71,0,0,0,0,0,0,0
"O53_4258_O53_4258",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_2135_O53_2135",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_4158_O53_4158",57.88,0,40.92,4.44,30.72,12.58,36.86,14.33,4.72,0,12.35,16.93,8.37,0,15.46,0,0,0
"O53_2927_O53_2927",1.19,1.29,2.06,4.74,5.17,3.91,2.95,7.21,5.12,2.03,2.37,2.52,1.05,4.08,2.08,0,2.14,4.77
"O53_1471_O53_1471",226.84,165.88,234.02,202.3,186.55,236.94,249.04,361.1,359.72,170.59,161.35,187.78,202.82,184.92,197.34,171.3,201.96,239.86
"O53_4724_O53_4724",0,0,0,8.14,13.67,14.78,0,0,0,0,0,0,0,0,0,0,0,0
"O53_4617_gatC",151.68,109.38,96.17,865.77,196.57,126.08,147.01,89.34,57.35,54.76,81.29,132.35,159.05,205.38,87.97,213.62,108.06,88.32
"O53_4284_bchI",112,173.6,159.71,167.44,116,95.52,144.38,190.62,60.2,110.61,96.84,72.29,106.09,111.97,72.13,128.89,127.72,90.77
"O53_3520_O53_3520",203.43,75.94,205.29,106.66,202.29,85,143.8,126.43,75.15,68.28,56.58,80.05,65.22,75.63,70.08,65.71,76.25,146.06
"O53_3473_O53_3473",14.01,9.87,10.51,18.97,7.99,5.48,8.23,6.17,5.22,7.5,5.28,8.65,11.73,8.12,15.09,7.04,5.37,7.65
"O53_2002_O53_2002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_3469_sodB",6375.19,5838.46,4532.63,13402.59,7161.72,5572.47,3459.98,2564.52,3668.26,5994.66,7363.55,5820.83,6738.1,6233.04,6694.12,7814.74,6010.49,3976.43
"O53_3179_O53_3179",29.08,31.48,39.19,28.03,25.21,26.23,583.82,425.41,258.92,206.04,256.37,403.23,282.01,262,115.03,89.89,139.2,308.3
"O53_3021_O53_3021",18.52,24.35,31.12,34.92,30.24,26.27,29.01,35.43,27.16,19.57,20.01,15.85,13.8,15.34,11.47,14.26,11.29,29.42
"O53_1875_O53_1875",4.47,4.6,5.99,9.46,9.18,9.03,13.29,17.1,11.61,1.14,5.06,5.41,6.9,6.37,2.88,2.38,8.1,15.85
"O53_1685_O53_1685",3.39,5.91,10.54,6.66,9.18,9.54,19.36,22.64,41.21,6.3,5.69,7.99,7.07,6.66,8.96,0.91,4.27,8.18
"O53_617_O53_617",15.27,23.88,30.61,24.27,32.81,32.89,29.47,36.81,68.41,25.92,41.88,38.31,25.63,30.97,27.39,5.35,8.02,34.02
"O53_5360_O53_5360",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_4511_O53_4511",273.49,304.39,330.17,279.95,423.53,223.91,1028.82,1342.68,1689.01,203.15,334,146.54,97.4,95.59,263.8,148.91,562.65,3504.05
"O53_3631_O53_3631",7.5,6.61,7.26,24.12,17.41,14.9,19.84,24.69,26.48,10.46,14.93,17.37,15.77,14.03,11.86,10.08,8.07,8.15
"O53_4868_recB",21.53,20.65,37.58,79.09,68.8,78.85,34.78,46.48,53.12,12.89,18.11,13.51,11.32,10.04,17.92,10.61,14.46,29.14
"O53_620_queF",50.3,37.3,45.79,41.22,41.18,36.17,69.3,60.91,33.07,28.52,40.24,20.23,33.35,29.17,20.06,28.19,24.66,19.03
"O53_1726_pilT-1",130.05,116.91,113.32,256.02,125.95,129.73,132.71,135.17,177.74,98.52,112.23,116.01,148.22,118,158.88,121.82,113.91,138.56
"O53_4993_O53_4993",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_2293_O53_2293",236.08,261.53,295.53,305.64,234.21,270.93,391.88,422.06,261.31,238.66,181.33,163.63,249.45,185.62,237.32,225.55,210.71,204.49
"O53_3799_O53_3799",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_4987_rplT",4269.84,5604.17,4519.59,5080.64,3620.09,2706.06,3999.54,3703.34,2166.79,5935.71,5403.58,4694.24,7610.99,7554.12,5030.96,5349.21,5108.75,5545.43
"O53_3668_O53_3668",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_3326_infA",455.6,299.12,440.48,709.18,783.43,1002.59,945.47,718.37,330.86,347.41,160.28,189.93,272.41,213.98,315.51,100.59,254.44,538.61
"O53_2947_O53_2947",0,0,2.04,1.47,0,0,0,1.95,0,0,0,2.68,0,4.8,0,0,0.9,0
"O53_328_O53_328",23.03,27.1,48.93,49.33,68,88.91,47.47,75.45,47.78,11.01,12.34,13.17,4.38,12.37,13.11,2.13,13.92,35.98
"O53_1496_icd",152.49,217.8,484.9,197.95,166.54,246.96,68.89,156.36,575.14,43.74,67.32,166.18,94.63,179.5,188.87,100.77,174.94,520.75
"O53_1230_O53_1230",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_2790_gyrA",231.87,114.25,151.49,199.38,127.29,170.82,109.86,130.42,95.62,89.95,110.67,145.6,184.14,149.09,132.36,154.76,184.23,131.63
"O53_1766_O53_1766",51.78,23.31,20.12,31.24,27.93,9.79,45.29,6.03,0,16.15,32.51,31.13,61.1,57.23,26.75,51.62,5.73,20.94
"O53_5392_O53_5392",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_1091_O53_1091",114.62,118.4,115.92,142.21,101.39,81.77,132.6,122.42,77.36,130.59,65.75,99.22,140.01,108.59,102.45,74.72,58.59,81.86
"O53_1750_rsmI",8.64,4.54,8.28,18.47,19.11,21.53,26.14,23.62,20.49,9.77,5.21,7.37,10.82,7.51,14.56,8.89,11.05,21.04
"O53_332_O53_332",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_2202_O53_2202",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_258_O53_258",109.3,88.53,112.82,74.21,60.69,80.91,74.11,86.32,93.5,60.77,56.4,91.18,90.09,84.48,77.79,87.65,48.48,72.62
"O53_4907_O53_4907",7.69,2.16,8.23,1.93,3.74,11.92,57.46,13.58,0,6,187.34,79.01,106.89,80.18,61.25,45.38,46.18,31.44
"O53_3137_lipA",195.68,264.04,281.56,249.38,206.97,251.08,247.26,311.09,250.55,194.72,132.91,163.68,169.05,123.37,151.89,179.6,166.58,226.67
"O53_2439_O53_2439",188.34,185.78,201.64,579.77,422.78,613.55,217.41,309.49,378.03,178.41,168.41,196.88,219.91,181.65,270.79,211.55,242,317.03
"O53_896_O53_896",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_1825_O53_1825",0.35,0,0.06,0.07,0.02,0,0.08,0,0,0,0,0,0.04,0,0,0.09,0,0
"O53_874_hoxY",271.2,459.49,718.78,1389.46,996.68,1457.07,148.16,231.77,1555.57,146.29,158.86,270.11,173.17,223.55,311.5,177.4,249.67,716.33
"O53_5150_ffh",83.02,77.94,101.12,173.75,94.52,134.84,150.24,154.28,121.64,97.9,97.38,112.24,128.04,120.88,122.37,129.12,101.22,112.01
"O53_4309_mdnH",24.78,22.41,30.79,38.3,21.86,40.58,16.3,19.94,14.13,9.65,12.64,13.41,23.03,24.97,20.32,24.57,35.28,25.79
"O53_3809_gpt",389.85,256.22,258.61,391.46,318.49,207.19,137.32,146.24,92.97,93.92,65.79,100.51,191.02,151.83,136.47,112.79,132.94,108.57
"O53_2772_O53_2772",326.46,349.15,362.55,402.47,324.93,348.11,154.4,170.28,388.16,144.3,164.86,216.01,281.33,224.86,246.44,290.26,227.31,206.55
"O53_1863_O53_1863",435.87,308.86,356.52,1320.88,854.16,1013.55,472.74,351.64,326.09,190.13,447.29,304.04,700.36,547.48,473.03,517.46,432.08,683.14
"O53_2110_O53_2110",25.17,1.46,6.4,6.76,6.78,12.42,8.16,7.11,15.41,4.14,2.7,3.25,10.1,10.71,15.06,6.58,9.53,12.29
"O53_18_rimI",13.84,8.6,11.09,10.68,5.65,5.54,12.27,13.17,16.18,6.02,10.47,4.27,11.36,7.38,8.94,7.9,6.84,10.23
"O53_78_O53_78",89.05,70.16,70.08,133.3,65.14,53.81,42.6,48.13,65.68,27.87,20.6,31.74,58.79,52.87,69.65,48.27,44.44,51.49
"O53_201_srpJ",2.85,3.13,3.83,7.32,3.62,3.77,14.79,12.68,14.22,187.92,198.69,437.66,254.39,246.27,41.46,8.63,38.37,28.31
"O53_1358_O53_1358",3.11,4.14,4.5,2.05,3.69,2.6,12.84,9.07,0,26,6.27,5.43,3.51,0,3.22,0,2.42,3.25
"O53_1604_O53_1604",12.8,38.52,7.1,46.64,29.88,46.36,34.95,16.62,42.14,0,3.03,0,4.36,0,0,0,0,17.85
"O53_715_xisI-1",53.36,53.1,67.73,64.77,51.61,48.35,76.5,50.76,30.64,19.24,15.16,25.59,17.42,23.19,15.33,15.88,11.14,30.9
"O53_1118_O53_1118",40.11,23.48,31.24,135.04,93.28,128.07,28.87,26.35,28.91,29.36,25.01,27.11,29.93,25.57,29.26,25.09,19.92,26.61
"O53_566_O53_566",0,0,0,0,0,18.04,0,0,5.21,0,0,0,0,0,0,0,0,8.67
"O53_1798_O53_1798",583.89,963.58,1190.81,1525.4,1025.84,953.4,865.66,1078.73,1019.89,1039.2,1097.88,1134.92,1212.49,1191.81,1364.19,1160.23,1343.63,1249.36
"O53_609_radC",53.05,44.46,48.55,66.18,41.87,39.72,78.08,99.73,56.54,79.3,57.12,67.03,99.81,57.04,87.28,63.51,43.5,58.67
"O53_3596_O53_3596",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_2307_O53_2307",131.87,160.14,194.18,267.31,147.23,211.38,226.26,301.26,230.97,277.8,280.47,320.98,313.56,276.71,297.99,210.17,227.76,268.69
"O53_5099_O53_5099",7.01,4.82,6.38,11.33,12.99,9.5,7.06,13.14,13.8,4.27,5.5,8.15,6.76,9.58,6.79,3.8,10.6,14.49
"O53_637_orr",23.37,20.32,28.5,867.97,412.83,704.11,16.54,25.15,35.98,15.53,13.29,25.56,30.72,29.85,34.96,15.55,17.17,71.5
"O53_159_O53_159",390.66,213.62,214.78,527.14,204.78,224.87,393,420.56,172.23,206.13,203.69,229.4,405.21,278.23,308.48,261.78,233.44,318.96
"O53_1141_O53_1141",56.15,54.66,92.54,131.9,178.86,284.86,156.45,170.26,130.96,35.45,32.1,35.84,7.96,27.94,15.43,0,25.77,75.77
"O53_266_O53_266",10.62,9.5,13.24,20.24,24.33,23.79,17.91,25.04,18.95,27.62,61.01,70.64,52.69,44.66,43.12,13.78,18.21,33.74
"O53_2121_O53_2121",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_96_O53_96",0,0,0,3.33,3.04,0,2.25,0,0,0,0,5.79,0,0,0,0,0,0
"O53_1575_O53_1575",77.52,51.21,57.62,35.03,40.4,45.38,67.72,51.71,27.43,22.3,19.83,17.2,25.59,17.9,18.53,16.01,14.77,11.85
"O53_4302_O53_4302",128.54,137.77,162.54,287.03,215.2,293.91,130.71,190.53,138.08,124.65,103.82,130.31,148.57,128.7,155.7,153.33,144.37,223.82
"O53_5251_O53_5251",42.88,44.42,71.75,102.97,72.9,78.86,68.15,101.9,119.08,36.27,41.79,43.46,41.49,32.73,43.37,19.76,25.73,72.47
"O53_4534_O53_4534",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_367_O53_367",27.57,17.62,30.88,38.93,51.33,60.89,73.19,72.74,79.39,56.54,50.3,53.69,90.93,43.01,71.27,26.55,38.36,56.92
"O53_2481_O53_2481",1770.15,1699.68,2313.7,2206.77,2293.55,1706.89,1693.18,2388.15,1368.12,3260.59,2813.65,3092.38,4571.86,4146.98,4274.91,3994.84,2940.02,2842.19
"O53_2275_O53_2275",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_3140_O53_3140",81.68,68.25,106.83,135.3,107.64,97.23,103.24,135.9,100.75,73.39,61.15,102.16,130.61,99.02,151.12,105.97,105.74,108.98
"O53_1162_O53_1162",24.5,21.26,24.71,34.74,39.44,38.62,23.61,20.49,39.78,21.38,15.81,17.25,27.58,25.9,28.18,23.04,18.51,27.26
"O53_1499_O53_1499",0,0,0,0,0,0,9.65,8.94,21.46,0,0,0,0,0,0,0,0,0
"O53_973_O53_973",24.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_1753_O53_1753",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_4804_O53_4804",64.47,35.32,39.92,18.58,13.92,13.49,61.87,47.18,19.29,10.43,9.45,13.62,14.85,9.66,20.36,18.13,8.35,18
"O53_3503_O53_3503",158.74,171.39,150.35,362.79,256.33,184.08,232.72,238.63,124.04,183.8,125.32,142.31,173.36,150.04,137.17,110.25,105.87,173.09
"O53_2510_O53_2510",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_1135_O53_1135",45.79,35.95,49.05,89.41,78.65,108.96,44.87,43.67,38.39,32.16,19.21,34.9,44.88,22,26.93,19.13,15.82,35.28
"O53_4777_O53_4777",118.44,112.04,189.5,434.7,809.75,853.17,380.31,199.97,123.02,148.38,1143.08,107.27,120.03,93.11,45.34,0,277.67,1124.42
"O53_1551_ecoRIR",0.32,0,0,0,0,0,2.54,3.11,0,0,0,0,0.21,0,0,0,0,0
"O53_3934_O53_3934",29.01,23.45,27.52,65.34,42.46,33.88,38.46,38.38,46.66,38.68,26.75,48.52,58.77,45.71,66.18,65.73,53.57,48.74
"O53_2970_uspA-1",90.05,130.67,154.53,265.15,150.37,152.49,120.02,100.96,70.63,74.32,61.68,70.84,44.96,53.57,75.67,61.14,46.06,79.63
"O53_2045_O53_2045",576.83,477.06,512.01,295.47,262.16,258.23,173.46,155.1,73.01,232.47,177.96,185.65,277.1,255.01,143.98,217.08,168.99,107.62
"O53_3484_O53_3484",6.94,3.56,6.77,16.13,9.97,12.66,11.33,10.35,6.23,3.45,3.96,8.16,7.06,3.59,6.15,2.86,2.7,6.31
"O53_2392_O53_2392",10.11,12.11,35.75,74.04,24.65,46.3,26.61,32.6,45.65,48.34,26.5,47.17,39.79,33.72,61.59,29.18,18.34,40.9
"O53_1996_O53_1996",613.59,827.34,1048.51,1217.03,1166.05,1154.19,950.37,874.72,1405.09,453.65,473.58,443.92,362.4,413.43,505.65,407.66,627.92,938.37
"O53_3853_O53_3853",292.06,294.57,352.59,247.69,345.04,536.82,210.6,231.84,262.82,71.99,42.47,74.22,111.09,88.4,111.85,73.45,78.73,142.19
"O53_2494_O53_2494",2.44,1.27,3.96,5.88,5.55,7.08,11,10.22,2.16,2.16,1.78,2.45,6.83,16.24,4.66,5.49,3.52,8.15
"O53_2263_hggT",77.46,71.88,93.97,70.26,50.76,47.49,78.7,73.83,102.53,57.95,47.65,57.82,82.89,76.92,104.9,90.48,69.87,66.2
"O53_2712_hisD",60.24,55.91,59.07,129.55,116.6,144.83,123.58,101.86,94.47,103.83,95.94,111.16,107.13,94.5,89.23,72.13,73.58,130.19
"O53_582_O53_582",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_2004_O53_2004",753.11,505.24,512.68,129.44,134.52,144.34,161.69,121.42,150.75,208.69,141.83,246.47,333.86,312.02,355.33,220.77,179.43,146.05
"O53_1491_O53_1491",2.13,1,3.7,16.34,10.69,13.12,12.1,14.29,11.21,8.23,10.78,8.15,5.57,9.6,8.53,2.18,10.61,25.29
"O53_5387_rpsJ",315.16,99.8,301.64,134.89,98.16,178.39,298.45,359.74,71.99,81,73.59,104.44,192.33,149.76,53.01,106.01,100.65,71.38
"O53_2969_O53_2969",6.34,3.26,4.54,14.37,8.28,6.73,4.92,3.7,3.17,1.73,1.71,3.46,3.93,4.16,4.14,3.6,2.32,3.1
"O53_3573_crtX",38.46,22.52,48.51,34.07,36.07,51.63,31.98,41.71,48.58,43.35,33.57,42.16,54.49,35.74,47.38,37.05,31.56,38.45
"O53_1533_O53_1533",12.7,17.27,22.34,34.34,29,40.73,42.87,39.56,44.32,46.16,45.08,57.49,46.15,35.72,38.72,24.53,24.81,33.17
"O53_1910_O53_1910",0,0,68.26,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0
"O53_4567_O53_4567",82.23,77.5,82.86,153.22,88.08,79.42,96.19,101.46,102,82.21,89.4,102.73,133.1,123.7,137.18,93.31,74.71,91.56
"O53_172_fur2",348.25,329.91,409.94,674.93,731.96,872.86,461.29,407.41,629.18,308.55,722.43,379.44,481.13,474.52,469.82,280.64,281.65,576.01
"O53_5089_tprN",130.16,123.92,198,115.19,136.41,210.62,117.98,127.15,156.21,36.64,45.97,45.52,45.02,57.21,64.71,44.34,58.62,60.4
"O53_209_O53_209",1.38,2.04,2.58,8.9,8.57,5.3,21.42,34.4,40.2,18.49,10.08,5.53,4.4,7.08,7.62,1.87,11.26,34.96
"O53_4673_ftsH-2",39.87,33.27,49.16,94.64,69.98,99.41,110.03,118.02,65.49,34.4,44.77,49.79,65.35,49.82,77.29,51.96,61.81,75.95
